CustomerID,FirstName,LastName,DateOfBirth,IncomeBracket,AccountType
1,Samantha,Brookes,1972-07-15,High,Joint
2,Clare,Peters,1941-04-02,Medium,Savings
3,Dean,Matthews,1986-09-01,Medium,Personal Current
4,Kathryn,Hill,1974-06-28,High,Student
5,Victoria,Evans,1965-01-26,High,Personal Current
6,Phillip,Khan,1978-01-22,Low,Personal Current
7,Eleanor,O'Brien,1965-03-30,Low,Joint
8,Howard,James,1978-09-02,High,Personal Current
9,Duncan,Richardson,1930-01-03,Medium,Personal Current
10,Daniel,Fisher,1957-11-02,Low,Savings
11,Jack,Hughes,1959-05-17,Medium,Savings
12,Francis,Bibi,1967-05-28,High,Savings
13,Adrian,Jones,1983-06-01,Medium,Personal Current
14,Allan,Humphreys,1949-03-26,Medium,Personal Current
15,Marc,Curtis,1929-01-22,High,Personal Current
16,Rachel,Martin,1927-10-17,Low,Personal Current
17,Rosemary,Perry,1944-09-09,Low,Savings
18,Max,Rogers,1999-04-12,Medium,Business
19,Dean,Walters,1928-12-26,High,Joint
20,Raymond,Clarke,1954-08-22,Low,Joint
21,Peter,Barnes,1934-05-07,Medium,Student
22,Jack,Bailey,1928-07-14,Medium,Savings
23,Aimee,Walton,1927-10-17,Medium,Personal Current
24,Lynne,Henderson,1953-08-26,Medium,Savings
25,Jordan,O'Brien,1957-05-23,High,Student
26,Sheila,Young,1988-11-11,Medium,Personal Current
27,Naomi,Price,1966-06-28,Medium,Personal Current
28,Joyce,O'Sullivan,1962-11-11,Medium,Business
29,Alison,Johnson,1973-01-31,Medium,Personal Current
30,Bryan,Russell,1957-01-02,Low,Personal Current
31,Janet,Thompson,2003-10-29,Low,Student
32,Annette,Saunders,1960-12-19,Medium,Joint
33,Carly,Cole,1945-04-17,Low,Savings
34,Amanda,Harvey,1940-05-21,Low,Savings
35,Jacqueline,Wilson,1976-08-17,Medium,Personal Current
36,Grace,Edwards,1964-09-22,Medium,Savings
37,Douglas,Rogers,1981-06-02,Low,Personal Current
38,Richard,Anderson,1989-06-14,Medium,Business
39,Clive,Hall,1942-02-12,Medium,Savings
40,Frederick,Doyle,2002-01-25,Low,Personal Current
41,Dale,Ellis,1995-11-09,High,Personal Current
42,Maurice,Phillips,1979-08-21,Medium,Personal Current
43,Dennis,Lewis,1929-08-03,Medium,Personal Current
44,Iain,Farmer,1928-11-03,Medium,Personal Current
45,Scott,Harris,1998-05-18,High,Savings
46,Tom,Henderson,1994-06-30,Medium,Student
47,Mohammad,Whitehouse,1984-02-08,Medium,Personal Current
48,Steven,Price,1978-04-18,Medium,Personal Current
49,Rachel,Lane,1990-12-15,Low,Personal Current
50,Olivia,Lambert,1996-07-03,Low,Business
51,Amy,O'Connor,1966-12-07,Medium,Personal Current
52,Louise,Sullivan,1939-09-13,Medium,Savings
53,Molly,Jones,2005-10-12,Medium,Business
54,Lucy,Nash,1980-06-22,Low,Savings
55,Leslie,Davies,1986-05-28,Medium,Business
56,Lesley,Parsons,1946-01-28,Low,Personal Current
